epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4726,3.60967,28.305,0.00204,0.11957,0.45633,0.37613,0.14985,3.10627,17.396,0.00259,0.000549938,0.000549938,0.000549938
2,39.359,3.03017,18.7102,0.00164,0.88811,0.40571,0.51593,0.24684,2.72671,8.88038,0.00233,0.00110013,0.00110013,0.00110013
3,58.0627,2.98339,14.9376,0.00159,0.59706,0.56887,0.56601,0.26406,2.61334,8.12107,0.00214,0.00164482,0.00164482,0.00164482
4,76.5801,2.97143,13.8225,0.00158,0.66777,0.59243,0.63839,0.29629,2.53342,7.81713,0.00215,0.00164225,0.00164225,0.00164225
5,95.0053,2.86479,12.4701,0.00156,0.72535,0.63093,0.65784,0.31978,2.49234,7.276,0.00206,0.00163399,0.00163399,0.00163399
6,113.463,2.82443,11.2161,0.0015,0.82101,0.68766,0.72755,0.341,2.513,6.17016,0.00206,0.00162574,0.00162574,0.00162574
7,132.034,2.77256,9.82016,0.00145,0.81393,0.69092,0.7307,0.34278,2.54512,5.26523,0.00211,0.00161749,0.00161749,0.00161749
8,150.598,2.73951,9.20463,0.00151,0.74735,0.70195,0.77504,0.37466,2.46195,4.64172,0.00204,0.00160924,0.00160924,0.00160924
9,169.165,2.81895,8.31612,0.00149,0.72564,0.71464,0.7596,0.38142,2.48046,4.37348,0.00206,0.00160099,0.00160099,0.00160099
10,187.636,2.73679,7.63283,0.00146,0.81521,0.74568,0.80478,0.40121,2.45835,4.18326,0.00205,0.00159274,0.00159274,0.00159274
11,206.145,2.73901,7.11192,0.00143,0.84205,0.73606,0.81117,0.40398,2.42271,4.3415,0.00199,0.00158448,0.00158448,0.00158448
12,224.664,2.70768,6.65476,0.00147,0.79318,0.7858,0.82145,0.41079,2.45945,3.96213,0.00205,0.00157623,0.00157623,0.00157623
13,243.18,2.75742,6.36445,0.00144,0.84723,0.77786,0.83215,0.3957,2.41454,4.06956,0.00199,0.00156798,0.00156798,0.00156798
14,262.33,2.6456,5.91078,0.00139,0.86535,0.77533,0.854,0.41834,2.41126,3.87027,0.002,0.00155973,0.00155973,0.00155973
15,281.319,2.70451,5.66142,0.00143,0.87711,0.7661,0.84913,0.42236,2.42697,3.86966,0.002,0.00155148,0.00155148,0.00155148
16,300.812,2.64939,5.41605,0.0014,0.90698,0.76408,0.85522,0.4291,2.38198,3.89182,0.00197,0.00154323,0.00154323,0.00154323
17,320.027,2.69819,5.19687,0.00142,0.87367,0.81516,0.87079,0.39357,2.54144,4.00479,0.00209,0.00153497,0.00153497,0.00153497
18,339.785,2.70546,5.02694,0.00136,0.89242,0.80738,0.87074,0.42797,2.46525,3.70724,0.00203,0.00152672,0.00152672,0.00152672
