epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1167,3.29637,22.9671,0.00181,0.91056,0.416,0.4804,0.23597,2.70986,8.20218,0.00225,0.000553141,0.000553141,0.000553141
2,108.657,2.86863,13.7165,0.00152,0.75801,0.66338,0.69988,0.32306,2.59141,7.44666,0.00213,0.00110442,0.00110442,0.00110442
3,148.575,2.8021,10.9499,0.00148,0.80404,0.67039,0.7317,0.34771,2.51459,6.17412,0.00208,0.00165129,0.00165129,0.00165129
4,188.79,2.82288,9.03976,0.00151,0.85822,0.69258,0.76189,0.36141,2.50276,4.82361,0.00203,0.0016472,0.0016472,0.0016472
5,228.68,2.76115,7.6006,0.00147,0.81357,0.72673,0.77172,0.36992,2.51768,4.37242,0.00211,0.00164059,0.00164059,0.00164059
6,270.127,2.77323,6.72602,0.00146,0.83385,0.73447,0.7915,0.38273,2.44084,4.08145,0.00198,0.00163399,0.00163399,0.00163399
7,313.319,2.71163,5.87659,0.00142,0.82584,0.76629,0.80632,0.38407,2.51167,3.84686,0.00206,0.00162739,0.00162739,0.00162739
8,356.832,2.72755,5.34611,0.00139,0.84315,0.78495,0.83779,0.4034,2.44456,3.71148,0.00199,0.00162079,0.00162079,0.00162079
9,400.821,2.72674,5.0856,0.00141,0.85981,0.78324,0.83785,0.39924,2.47159,3.54898,0.00202,0.00161419,0.00161419,0.00161419
10,443.862,2.67688,4.73748,0.00142,0.8543,0.78063,0.8361,0.40291,2.44683,3.56209,0.00198,0.00160759,0.00160759,0.00160759
11,486.517,2.71283,4.55736,0.00141,0.86687,0.828,0.8605,0.4162,2.46626,3.45442,0.00202,0.00160099,0.00160099,0.00160099
12,529.641,2.68075,4.32805,0.00142,0.8321,0.82012,0.84409,0.40769,2.43832,3.33486,0.00201,0.00159439,0.00159439,0.00159439
13,571.668,2.62007,4.12581,0.00139,0.88872,0.81439,0.86583,0.43522,2.40045,3.48307,0.00193,0.00158778,0.00158778,0.00158778
14,613.841,2.63312,4.13809,0.00136,0.88881,0.81932,0.87144,0.41786,2.45341,3.2204,0.00202,0.00158118,0.00158118,0.00158118
15,655.782,2.63718,3.94426,0.00141,0.87965,0.83094,0.8697,0.43264,2.46758,3.10957,0.00204,0.00157458,0.00157458,0.00157458
16,696.481,2.64439,3.85255,0.00139,0.87106,0.84581,0.87493,0.43211,2.42376,3.19987,0.00197,0.00156798,0.00156798,0.00156798
17,736.305,2.58933,3.72366,0.00135,0.88414,0.82756,0.87482,0.44676,2.40127,2.95351,0.00195,0.00156138,0.00156138,0.00156138
18,776.083,2.58036,3.62332,0.00136,0.90431,0.80689,0.86958,0.43317,2.47188,3.12833,0.00203,0.00155478,0.00155478,0.00155478
19,815.753,2.60852,3.58456,0.00138,0.90185,0.84071,0.8808,0.45125,2.38002,2.98232,0.00194,0.00154818,0.00154818,0.00154818
20,855.795,2.58865,3.5619,0.00134,0.89214,0.81751,0.86587,0.43862,2.4417,2.96043,0.00201,0.00154157,0.00154157,0.00154157
21,896.149,2.57558,3.42685,0.00132,0.89363,0.84026,0.88247,0.45561,2.38518,2.88016,0.00194,0.00153497,0.00153497,0.00153497
22,935.955,2.58625,3.47486,0.00136,0.9061,0.85909,0.88902,0.46052,2.37577,2.85207,0.00193,0.00152837,0.00152837,0.00152837
23,975.852,2.59701,3.4305,0.00134,0.89926,0.86793,0.89282,0.46466,2.3872,2.90354,0.00195,0.00152177,0.00152177,0.00152177
24,1015.75,2.53705,3.40184,0.00131,0.88709,0.86095,0.88712,0.46354,2.35872,2.90337,0.00191,0.00151517,0.00151517,0.00151517
25,1055.55,2.56249,3.37404,0.00133,0.90349,0.84798,0.89663,0.44892,2.40582,2.86906,0.00195,0.00150857,0.00150857,0.00150857
26,1095.52,2.57366,3.35124,0.00133,0.89683,0.85494,0.88805,0.4604,2.4197,2.83908,0.00198,0.00150197,0.00150197,0.00150197
27,1135.36,2.60123,3.34886,0.00135,0.88628,0.85354,0.88537,0.4372,2.40471,2.96348,0.00197,0.00149537,0.00149537,0.00149537
28,1175.22,2.53619,3.30186,0.00129,0.89756,0.8718,0.9146,0.45875,2.37072,2.92733,0.00191,0.00148876,0.00148876,0.00148876
29,1215.16,2.54918,3.33167,0.00134,0.91675,0.8575,0.9065,0.46682,2.36606,2.93499,0.00192,0.00148216,0.00148216,0.00148216
30,1255.35,2.56171,3.29489,0.00133,0.93361,0.84422,0.89683,0.44656,2.40677,2.76761,0.00197,0.00147556,0.00147556,0.00147556
31,1295.75,2.49882,3.32625,0.00131,0.92985,0.85161,0.89893,0.45609,2.40422,2.74948,0.00195,0.00146896,0.00146896,0.00146896
32,1335.56,2.55275,3.31242,0.00133,0.89906,0.87851,0.91003,0.47745,2.36382,2.6386,0.00193,0.00146236,0.00146236,0.00146236
33,1375.01,2.54032,3.10979,0.00133,0.89949,0.8556,0.90522,0.4738,2.37538,2.63916,0.00193,0.00145576,0.00145576,0.00145576
34,1414.54,2.51393,3.25994,0.00132,0.8984,0.8672,0.90192,0.46083,2.46082,2.78178,0.00203,0.00144916,0.00144916,0.00144916
35,1454.26,2.51931,3.17964,0.00129,0.93073,0.87851,0.91583,0.47015,2.39459,2.77576,0.00197,0.00144256,0.00144256,0.00144256
36,1494.06,2.56222,3.11892,0.00131,0.90229,0.88563,0.90482,0.48158,2.36124,2.6649,0.00192,0.00143595,0.00143595,0.00143595
37,1533.81,2.52117,3.18755,0.00129,0.91452,0.87931,0.90999,0.48134,2.36489,2.76668,0.00194,0.00142935,0.00142935,0.00142935
38,1573.73,2.48082,3.15393,0.00128,0.93923,0.85956,0.91463,0.47071,2.36883,2.82921,0.00191,0.00142275,0.00142275,0.00142275
39,1613.22,2.49679,3.13121,0.00129,0.91343,0.88541,0.91706,0.47249,2.3952,2.84633,0.00195,0.00141615,0.00141615,0.00141615
40,1652.75,2.51337,3.07951,0.0013,0.91268,0.87728,0.91496,0.47063,2.37521,2.72412,0.00194,0.00140955,0.00140955,0.00140955
41,1692.4,2.50861,3.12405,0.00127,0.92357,0.87611,0.91658,0.48265,2.3278,2.71225,0.00189,0.00140295,0.00140295,0.00140295
42,1732.1,2.47934,3.086,0.00131,0.93353,0.87617,0.9127,0.47402,2.38704,2.71978,0.00196,0.00139635,0.00139635,0.00139635
43,1771.6,2.49854,3.12084,0.00128,0.91082,0.8707,0.90818,0.49824,2.32578,2.73476,0.0019,0.00138974,0.00138974,0.00138974
44,1811.23,2.50271,3.17564,0.00126,0.9242,0.88553,0.92099,0.48537,2.33276,2.78944,0.0019,0.00138314,0.00138314,0.00138314
45,1851.22,2.51143,3.09094,0.0013,0.91842,0.88572,0.91408,0.48516,2.32519,2.71971,0.00189,0.00137654,0.00137654,0.00137654
46,1890.78,2.47842,3.1196,0.00127,0.91726,0.86996,0.92097,0.4959,2.34447,2.65674,0.00189,0.00136994,0.00136994,0.00136994
47,1930.33,2.47748,3.0711,0.00128,0.91271,0.87494,0.90489,0.48879,2.36514,2.6855,0.00194,0.00136334,0.00136334,0.00136334
48,1970,2.46574,3.08193,0.00128,0.90605,0.89846,0.93032,0.49732,2.3254,2.69704,0.00188,0.00135674,0.00135674,0.00135674
49,2009.77,2.4738,3.1201,0.00127,0.89577,0.91288,0.9373,0.48727,2.34028,2.73535,0.0019,0.00135014,0.00135014,0.00135014
50,2050.66,2.4642,2.99254,0.00128,0.93277,0.88461,0.91583,0.49775,2.36264,2.52087,0.00192,0.00134354,0.00134354,0.00134354
51,2090.63,2.45303,3.03398,0.00127,0.93145,0.89386,0.92749,0.48906,2.34339,2.57496,0.00191,0.00133693,0.00133693,0.00133693
52,2132.63,2.4869,3.02208,0.00127,0.94197,0.86668,0.90657,0.48109,2.35851,2.68289,0.00191,0.00133033,0.00133033,0.00133033
53,2175.54,2.44873,2.97162,0.00126,0.94719,0.87392,0.92802,0.49328,2.33702,2.63607,0.00189,0.00132373,0.00132373,0.00132373
54,2218.76,2.4608,3.02367,0.00125,0.93116,0.88678,0.91427,0.47414,2.37323,2.7237,0.00195,0.00131713,0.00131713,0.00131713
55,2261.48,2.43406,2.99168,0.00125,0.92478,0.87923,0.91134,0.47892,2.32665,2.66804,0.0019,0.00131053,0.00131053,0.00131053
